"Cycle_Index","Discharge_Capacity (Ah)"
"442","1.011"
"444","1.011"
"445","1.011"
"446","1.011"
"447","1.011"
"448","1.01"
"450","1.01"
"451","1.01"
"452","1.01"
"453","1.01"
"454","1.01"
"455","1.01"
"456","1.01"
"457","1.01"
"458","1.009"
"459","1.009"
"460","1.009"
"461","1.009"
"462","1.009"
"463","1.009"
"465","1.009"
"466","1.009"
"467","1.009"
"468","1.009"
"469","1.009"
"470","1.009"
"471","1.009"
"472","1.009"
"473","1.009"
"474","1.008"
"475","1.008"
"476","1.008"
"477","1.008"
"478","1.008"
"479","1.008"
"480","1.008"
"481","1.008"
"482","1.008"
"483","1.008"
"484","1.008"
"485","1.008"
"487","1.008"
"488","1.008"
"489","1.007"
"490","1.007"
"491","1.007"
"492","1.007"
"493","1.007"
"494","1.007"
"495","1.007"
"496","1.007"
"497","1.007"
"498","1.007"
"499","1.007"
"500","1.007"
"501","1.007"
"502","1.007"
"503","1.007"
"504","1.007"
"505","1.007"
"507","1.007"
"508","1.006"
"509","1.006"
"510","1.006"
"511","1.006"
"512","1.006"
"513","1.006"
"514","1.006"
"515","1.006"
"517","1.006"
"518","1.006"
"519","1.006"
"520","1.006"
"521","1.006"
"522","1.006"
"523","1.006"
"524","1.006"
"525","1.005"
"526","1.005"
"527","1.005"
"528","1.005"
"529","1.005"
"530","1.005"
"531","1.005"
"532","1.005"
"533","1.005"
"534","1.005"
"535","1.005"
"536","1.005"
"538","1.005"
"540","1.005"
"541","1.005"
"542","1.005"
"544","1.005"
"545","1.005"
"546","1.004"
"547","1.004"
"548","1.004"
"549","1.004"
"550","1.004"
"551","1.004"
"552","1.004"
"553","1.004"
"554","1.004"
"555","1.004"
"557","1.004"
"558","1.004"
"559","1.004"
"560","1.004"
"561","1.004"
"562","1.004"
"563","1.003"
"564","1.003"
"565","1.003"
"567","1.003"
"568","1.003"
"569","1.003"
"570","1.003"
"571","1.003"
"572","1.003"
"573","1.003"
"574","1.003"
"575","1.003"
"576","1.003"
"577","1.003"
"579","1.003"
"580","1.003"
"581","1.003"
"582","1.003"
"583","1.003"
"584","1.002"
"585","1.002"
"586","1.002"
"587","1.002"
"588","1.002"
"589","1.002"
"590","1.002"
"592","1.002"
"593","1.002"
"594","1.002"
"595","1.002"
"596","1.002"
"597","1.002"
"598","1.002"
"599","1.002"
"600","1.002"
"601","1.002"
"602","1.001"
"603","1.001"
"604","1.001"
"606","1.001"
"607","1.001"
"608","1.001"
"609","1.001"
"610","1.001"
"611","1.001"
"612","1.001"
"613","1.001"
"614","1.001"
"615","1.001"
"616","1.001"
"617","1.014"
"618","1.015"
"619","1.015"
"620","0"
"621","1.022"
"622","1.025"
"623","1.025"
"624","2.023"
"625","1.012"
"626","1.012"
"627","1.012"
"628","1.011"
"629","1.011"
"630","1.011"
"631","1.011"
"632","1.011"
"633","1.011"
"634","1.011"
"636","1.011"
"637","1.011"
"638","1.01"
"639","1.01"
"640","1.01"
"641","1.01"
"642","1.01"
"643","1.01"
"644","1.01"
"645","1.01"
"646","1.009"
"647","1.009"
"648","1.009"
"649","1.009"
"650","1.009"
"651","1.009"
"652","1.009"
"653","1.009"
"654","1.008"
"655","1.008"
"656","1.008"
"657","1.008"
"658","1.008"
"659","1.008"
"660","1.008"
"661","1.008"
"663","1.008"
"664","1.007"
"665","1.007"
"666","1.007"
"667","1.007"
"668","1.007"
"669","1.007"
"670","1.007"
"671","1.007"
"672","1.007"
"673","1.006"
"675","1.006"
"676","1.006"
"677","1.006"
"678","1.006"
"679","1.006"
"680","1.006"
"681","1.006"
"682","1.006"
"683","1.006"
"684","1.005"
"685","1.005"
"686","1.005"
"687","1.005"
"688","1.005"
"689","1.005"
"691","1.005"
"692","1.005"
"693","1.005"
"694","1.004"
"695","1.005"
"696","1.004"
"697","1.004"
"698","1.004"
"699","1.004"
"700","1.004"
"701","1.004"
"702","1.004"
"703","1.004"
